table,survey,geography_id,geography_name,geography_type_id,date,apartment
1.2.2,Scss,5915004,Surrey (CY),4,2009-07-01,12
1.2.2,Scss,5915004,Surrey (CY),4,2009-08-01,253
1.2.2,Scss,5915004,Surrey (CY),4,2009-09-01,244
1.2.2,Scss,5915004,Surrey (CY),4,2009-10-01,22
1.2.2,Scss,5915004,Surrey (CY),4,2009-11-01,211
1.2.2,Scss,5915004,Surrey (CY),4,2009-12-01,187
1.2.2,Scss,5915004,Surrey (CY),4,2010-01-01,275
1.2.2,Scss,5915004,Surrey (CY),4,2010-02-01,95
1.2.2,Scss,5915004,Surrey (CY),4,2010-03-01,137
1.2.2,Scss,5915004,Surrey (CY),4,2010-04-01,72
1.2.2,Scss,5915004,Surrey (CY),4,2010-05-01,589
1.2.2,Scss,5915004,Surrey (CY),4,2010-06-01,18
1.2.2,Scss,5915004,Surrey (CY),4,2010-07-01,70
1.2.2,Scss,5915004,Surrey (CY),4,2010-08-01,10
1.2.2,Scss,5915004,Surrey (CY),4,2010-09-01,327
1.2.2,Scss,5915004,Surrey (CY),4,2010-10-01,68
1.2.2,Scss,5915004,Surrey (CY),4,2010-11-01,2
1.2.2,Scss,5915004,Surrey (CY),4,2010-12-01,4
1.2.2,Scss,5915004,Surrey (CY),4,2011-01-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2011-02-01,45
1.2.2,Scss,5915004,Surrey (CY),4,2011-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2011-04-01,101
1.2.2,Scss,5915004,Surrey (CY),4,2011-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2011-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2011-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2011-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2011-09-01,85
1.2.2,Scss,5915004,Surrey (CY),4,2011-10-01,8
1.2.2,Scss,5915004,Surrey (CY),4,2011-11-01,122
